Match id;End time;Duration;Winner;Team radiant;Team dire;Team radiant Player #1;Team radiant Player #2;Team radiant Player #3;Team radiant Player #4;Team radiant Player #5;Team dire Player #1;Team dire Player #2;Team dire Player #3;Team dire Player #4;Team dire Player #5;Team radiant R #1;Team radiant R #2;Team radiant R #3;Team radiant R #4;Team radiant R #5;Team dire R #1;Team dire R #2;Team dire R #3;Team dire R #4;Team dire R #5;Team radiant L #1;Team radiant L #2;Team radiant L #3;Team radiant L #4;Team radiant L #5;Team dire L #1;Team dire L #2;Team dire L #3;Team dire L #4;Team dire L #5;Team radiant Hero #1;Team radiant Hero #2;Team radiant Hero #3;Team radiant Hero #4;Team radiant Hero #5;Team dire Hero #1;Team dire Hero #2;Team dire Hero #3;Team dire Hero #4;Team dire Hero #5;Team radiant K #1;Team radiant K #2;Team radiant K #3;Team radiant K #4;Team radiant K #5;Team dire K #1;Team dire K #2;Team dire K #3;Team dire K #4;Team dire K #5;Team radiant D #1;Team radiant D #2;Team radiant D #3;Team radiant D #4;Team radiant D #5;Team dire D #1;Team dire D #2;Team dire D #3;Team dire D #4;Team dire D #5;Team radiant A #1;Team radiant A #2;Team radiant A #3;Team radiant A #4;Team radiant A #5;Team dire A #1;Team dire A #2;Team dire A #3;Team dire A #4;Team dire A #5;Team radiant NET #1;Team radiant NET #2;Team radiant NET #3;Team radiant NET #4;Team radiant NET #5;Team dire NET #1;Team dire NET #2;Team dire NET #3;Team dire NET #4;Team dire NET #5;Team radiant LH #1;Team radiant LH #2;Team radiant LH #3;Team radiant LH #4;Team radiant LH #5;Team dire LH #1;Team dire LH #2;Team dire LH #3;Team dire LH #4;Team dire LH #5;Team radiant DN #1;Team radiant DN #2;Team radiant DN #3;Team radiant DN #4;Team radiant DN #5;Team dire DN #1;Team dire DN #2;Team dire DN #3;Team dire DN #4;Team dire DN #5;Team radiant GPM #1;Team radiant GPM #2;Team radiant GPM #3;Team radiant GPM #4;Team radiant GPM #5;Team dire GPM #1;Team dire GPM #2;Team dire GPM #3;Team dire GPM #4;Team dire GPM #5;Team radiant XPM #1;Team radiant XPM #2;Team radiant XPM #3;Team radiant XPM #4;Team radiant XPM #5;Team dire XPM #1;Team dire XPM #2;Team dire XPM #3;Team dire XPM #4;Team dire XPM #5;Team radiant DMG #1;Team radiant DMG #2;Team radiant DMG #3;Team radiant DMG #4;Team radiant DMG #5;Team dire DMG #1;Team dire DMG #2;Team dire DMG #3;Team dire DMG #4;Team dire DMG #5;Team radiant HEAL #1;Team radiant HEAL #2;Team radiant HEAL #3;Team radiant HEAL #4;Team radiant HEAL #5;Team dire HEAL #1;Team dire HEAL #2;Team dire HEAL #3;Team dire HEAL #4;Team dire HEAL #5;Team radiant BLD #1;Team radiant BLD #2;Team radiant BLD #3;Team radiant BLD #4;Team radiant BLD #5;Team dire BLD #1;Team dire BLD #2;Team dire BLD #3;Team dire BLD #4;Team dire BLD #5;Team radiant observer #1;Team radiant observer #2;Team radiant observer #3;Team radiant observer #4;Team radiant observer #5;Team dire observer #1;Team dire observer #2;Team dire observer #3;Team dire observer #4;Team dire observer #5;Team radiant sentry #1;Team radiant sentry #2;Team radiant sentry #3;Team radiant sentry #4;Team radiant sentry #5;Team dire sentry #1;Team dire sentry #2;Team dire sentry #3;Team dire sentry #4;Team dire sentry #5
2949039476;2017-01-28T18:33:33+00:00;28:21;dire;Natus Vincere;Team Liquid;Na`Vi.Pajkatt;Na`Vi.Dendi;Na'Vi.rmN-;Na`Vi.Biver;Na`Vi.GeneRaL;Liquid.KuroKy;Liquid.MinD_ContRoL;Liquid.Miracle-;Liquid.gh;Liquid.MATUMBAMAN;Core Role;Core Role;Core Role;Support Role;Core Role;Support Role;Core Role;Core Role;Support Role;Core Role;Safe Lane;Mid Lane;Jungle;Safe Lane;Off Lane;Off Lane;Off Lane;Mid Lane;Roaming;Safe Lane;Chaos Knight;Shadow Fiend;Underlord;Dazzle;Batrider;Rubick;Weaver;Ember Spirit;Slardar;Timbersaw;0;3;1;2;1;1;5;7;4;8;6;5;7;3;4;2;3;0;3;0;3;1;3;3;3;10;11;8;10;9;9200;11400;4400;2300;6200;7500;13100;13400;8300;15700;136;199;58;34;75;55;160;140;21;203;18;30;1;2;5;2;3;5;0;7;357;438;229;185;241;336;506;510;326;595;335;423;252;195;269;343;487;548;375;614;5000;10800;4400;4000;7400;6700;13600;20200;6100;16800;0;65;750;4700;90;409;0;0;0;0;718;101;47;15;0;597;2800;1900;123;992;0;0;4;9;0;12;0;0;0;0;0;0;6;16;0;6;0;0;0;0
2989528495;2017-02-10T17:56:42+00:00;31:13;radiant;Team Liquid;B)ears;Liquid.KuroKy;Liquid.MinD_ContRoL;Liquid.Miracle-;Liquid.gh;Liquid.MATUMBAMAN;Liquid.FATA-;343;YapzOr;Feero;MVP.FoREv;Support Role;Core Role;Core Role;Core Role;Core Role;Core Role;Support Role;Support Role;Core Role;Core Role;Jungle;Roaming;Mid Lane;Off Lane;Safe Lane;Safe Lane;Safe Lane;Safe Lane;Mid Lane;Off Lane;Spirit Breaker;Slardar;Invoker;Keeper of the Light;Weaver;Luna;Rubick;Centaur Warrunner;Juggernaut;Dark Seer;0;2;11;0;11;6;2;2;1;0;3;1;2;5;0;5;3;3;8;5;16;9;8;13;8;2;7;8;3;10;4700;12300;23500;12100;19100;15700;3400;6000;7300;8800;10;102;266;124;196;233;23;31;127;163;1;0;36;0;5;15;0;1;5;1;274;439;813;455;669;542;222;215;301;352;258;419;882;419;658;504;198;305;289;362;3200;3900;19200;12600;16700;14400;7200;4700;4400;11400;575;90;0;6000;0;0;0;0;0;668;200;573;6000;559;10600;1200;17;0;732;0;14;0;0;0;0;0;14;0;0;0;10;0;0;2;0;0;15;0;0;0
2974403760;2017-02-04T16:48:34+00:00;26:47;dire;Ninjas in Pyjamas;Team Liquid;NiP.syndereN;NiP.qojqva;NiP.Trixi;NiP.Era;NiP.H4nn1;Liquid.KuroKy;Liquid.MinD_ContRoL;Liquid.Miracle-;Liquid.gh;Liquid.MATUMBAMAN;Support Role;Core Role;Core Role;Core Role;Support Role;Support Role;Core Role;Core Role;Core Role;Core Role;Mid Lane;Mid Lane;Off Lane;Safe Lane;Safe Lane;Safe Lane;Off Lane;Mid Lane;Off Lane;Safe Lane;Bane;Invoker;Nyx Assassin;Weaver;Disruptor;Rubick;Brewmaster;Templar Assassin;Keeper of the Light;Juggernaut;2;6;0;5;2;4;5;8;2;2;6;0;6;3;6;3;3;3;2;5;9;6;11;6;7;10;10;7;10;14;2500;13500;5500;9800;3200;5100;11100;16200;10400;11300;13;177;42;147;8;29;98;201;117;128;1;5;1;6;1;2;4;14;0;2;224;526;269;435;217;321;446;685;432;468;176;478;318;395;209;304;423;729;356;387;6300;11000;8900;13300;4700;5100;9200;13300;11000;8000;0;0;0;0;0;475;0;133;2100;0;0;809;66;1700;59;574;717;5700;293;5800;10;0;0;0;2;12;0;0;0;0;16;0;0;0;2;16;0;0;2;0
3017538227;2017-02-24T11:16:22+00:00;38:53;radiant;Team Liquid;the wings gaming;Liquid.KuroKy;Liquid.MinD_ContRoL;Liquid.Miracle-;Liquid.gh;Liquid.MATUMBAMAN;Wings.shadow;Wings.bLink;Wings.Faith_bian;Wings.iceice;Wings.Innocence;Support Role;Core Role;Core Role;Support Role;Core Role;Core Role;Core Role;Core Role;Core Role;Support Role;Mid Lane;Off Lane;Safe Lane;Roaming;Mid Lane;Safe Lane;Mid Lane;Off Lane;Jungle;Safe Lane;Crystal Maiden;Centaur Warrunner;Slark;Slardar;Lone Druid;Chaos Knight;Sniper;Sand King;Morphling;Skywrath Mage;2;4;14;1;7;5;5;5;0;2;4;5;1;5;2;5;6;6;4;7;13;17;4;15;8;5;12;9;7;7;7400;14200;20600;9900;25700;17200;14300;11100;7400;2700;54;158;245;62;304;209;226;119;86;12;0;4;32;1;9;25;26;2;1;2;309;434;611;332;711;477;427;335;254;187;295;440;679;394;693;447;354;423;286;184;6300;10300;27400;4600;19500;11700;25200;10700;5300;6600;851;0;0;0;0;0;0;0;0;0;51;892;4500;445;9400;2000;1600;71;301;80;17;0;0;0;0;0;0;0;5;12;15;0;0;0;0;0;0;0;6;29
2987642896;2017-02-09T20:26:27+00:00;43:33;dire;B)ears;Team Liquid;Liquid.FATA-;343;YapzOr;Feero;MVP.FoREv;Liquid.KuroKy;Liquid.MinD_ContRoL;Liquid.Miracle-;Liquid.gh;Liquid.MATUMBAMAN;Core Role;Support Role;Support Role;Core Role;Core Role;Support Role;Core Role;Core Role;Core Role;Core Role;Safe Lane;Jungle;Safe Lane;Mid Lane;Off Lane;Jungle;Off Lane;Mid Lane;Off Lane;Safe Lane;Lone Druid;Spirit Breaker;Rubick;Alchemist;Centaur Warrunner;Crystal Maiden;Brewmaster;Invoker;Keeper of the Light;Lycan;4;3;3;1;1;3;3;11;2;4;3;7;8;2;3;3;1;2;4;2;6;5;6;7;7;9;10;8;11;13;17400;3300;10800;30000;13600;6700;15100;29000;17400;21600;293;15;75;468;141;36;142;333;202;241;5;0;2;1;18;0;0;27;1;3;469;179;245;928;282;277;392;732;435;531;430;141;318;582;314;250;411;632;295;554;17700;4200;14100;28900;11400;6600;10700;35700;13700;11800;0;0;1700;90;0;0;0;0;15600;21600;3400;0;0;1400;1100;224;1400;10800;182;7800;1;18;2;0;0;17;0;0;2;0;0;24;5;0;0;14;0;0;2;0
2860590350;2016-12-20T17:34:11+00:00;17:25;radiant;Team Empire;Team Liquid;yol;Empire.Ghostik;Empire.Miposhka;Empire.fn;Chappie;Liquid.KuroKy;Liquid.MinD_ContRoL;Liquid.Miracle-;Liquid.gh;Liquid.MATUMBAMAN;Support Role;Core Role;Support Role;Core Role;Core Role;Support Role;Core Role;Core Role;Core Role;Core Role;Off Lane;Off Lane;Roaming;Safe Lane;Mid Lane;Roaming;Jungle;Safe Lane;Off Lane;Mid Lane;Omniknight;Underlord;Rubick;Razor;Meepo;Vengeful Spirit;Axe;Anti-Mage;Visage;Pugna;1;0;4;6;8;1;0;0;0;4;0;0;3;1;1;4;3;1;7;5;6;8;13;7;4;3;1;1;3;0;4100;7200;6100;9800;14900;1500;4800;6800;2900;6900;9;72;20;108;200;3;68;122;22;97;1;1;4;10;0;0;4;8;1;6;341;477;455;609;963;162;305;403;209;430;165;332;293;439;1000;149;344;461;213;359;2100;4000;5300;7000;8800;3000;1400;581;4200;17400;3100;3200;0;0;0;0;0;0;0;11;243;589;1100;734;10900;46;157;0;0;1500;5;0;2;0;0;7;0;0;0;0;2;0;0;0;0;4;0;0;0;0
2940560214;2017-01-26T18:49:23+00:00;42:46;radiant;Team Liquid;Vega Squadron;Liquid.KuroKy;Liquid.MinD_ContRoL;Liquid.Miracle-;Liquid.gh;Liquid.MATUMBAMAN;Vega.CeMaTheSlayeR;Vega.Mag;Vega.G;Vega.Ditya Ra;Vega.SoNNeikO;Support Role;Core Role;Core Role;Core Role;Core Role;Support Role;Core Role;Core Role;Core Role;Support Role;Safe Lane;Off Lane;Mid Lane;Roaming;Safe Lane;Off Lane;Safe Lane;Mid Lane;Off Lane;Roaming;Dazzle;Batrider;Shadow Fiend;Earthshaker;Necrophos;Shadow Demon;Dark Seer;Queen of Pain;Luna;Slardar;1;7;15;4;9;6;4;4;3;1;5;3;5;1;4;8;4;10;5;9;20;19;11;19;21;8;7;6;8;12;6900;15300;24300;13600;19900;6500;14100;14900;17100;8000;48;179;321;73;245;108;207;262;293;69;0;12;20;0;5;1;0;16;12;0;260;435;649;335;515;297;393;436;471;279;305;593;645;475;608;266;457;463;470;379;3300;12800;32299;14000;19300;15200;20200;16400;18100;5000;6000;0;90;0;6100;0;4900;0;0;0;117;317;7700;1600;1800;1400;0;661;1900;144;19;0;0;0;0;13;0;0;0;5;12;0;0;0;0;26;0;0;0;0
2974171489;2017-02-04T15:54:00+00:00;46:50;dire;Team Liquid;Ninjas in Pyjamas;Liquid.KuroKy;Liquid.MinD_ContRoL;Liquid.Miracle-;Liquid.gh;Liquid.MATUMBAMAN;NiP.syndereN;NiP.qojqva;NiP.H4nn1;NiP.Era;NiP.Trixi;Support Role;Core Role;Core Role;Core Role;Core Role;Support Role;Core Role;Support Role;Core Role;Core Role;Safe Lane;Off Lane;Mid Lane;Roaming;Safe Lane;Roaming;Mid Lane;Safe Lane;Safe Lane;Off Lane;Warlock;Sand King;Shadow Fiend;Rubick;Drow Ranger;Clockwerk;Invoker;Shadow Demon;Ember Spirit;Weaver;2;3;10;1;5;4;12;5;8;8;6;8;8;9;6;9;1;4;3;4;12;11;5;13;10;24;12;20;18;20;7900;8900;23300;13000;17600;7000;29400;9300;19500;17700;87;118;386;152;283;68;342;32;206;149;1;2;19;3;5;19;7;0;8;2;279;292;574;345;461;335;751;337;497;464;286;395;587;336;492;279;592;363;587;471;10000;8800;27900;13300;14400;17600;30300;11700;26100;21400;10000;0;0;0;0;0;0;2600;180;0;396;149;2200;1200;3000;139;17100;1100;687;3600;20;0;0;0;0;13;0;8;0;0;16;0;0;2;0;16;0;20;0;0
2940441941;2017-01-26T17:51:32+00:00;54:22;dire;Team Liquid;Vega Squadron;Liquid.KuroKy;Liquid.MinD_ContRoL;Liquid.Miracle-;Liquid.gh;Liquid.MATUMBAMAN;Vega.CeMaTheSlayeR;Vega.Mag;Vega.G;Vega.Ditya Ra;Vega.SoNNeikO;Core Role;Core Role;Core Role;Core Role;Core Role;Core Role;Core Role;Core Role;Core Role;Core Role;Roaming;Roaming;Roaming;Roaming;Roaming;Roaming;Roaming;Roaming;Roaming;Roaming;Terrorblade;Faceless Void;Pudge;Ember Spirit;Dazzle;Slardar;Dark Seer;Disruptor;Alchemist;Ursa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7100;7100;7100;7100;7100;9300;9300;9300;9300;9300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;119;119;119;119;165;165;165;165;165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2987413414;2017-02-09T17:52:04+00:00;47:33;radiant;B)ears;Team Liquid;Liquid.FATA-;343;YapzOr;Feero;MVP.FoREv;Liquid.KuroKy;Liquid.MinD_ContRoL;Liquid.Miracle-;Liquid.gh;Liquid.MATUMBAMAN;Core Role;Support Role;Core Role;Core Role;Core Role;Support Role;Core Role;Core Role;Core Role;Core Role;Safe Lane;Safe Lane;Roaming;Mid Lane;Off Lane;Safe Lane;Off Lane;Mid Lane;Off Lane;Safe Lane;Weaver;Dazzle;Rubick;Outworld Devourer;Centaur Warrunner;Crystal Maiden;Brewmaster;Shadow Fiend;Keeper of the Light;Slark;9;1;5;13;3;4;3;10;0;3;2;6;5;3;4;9;5;6;5;6;13;15;18;9;19;8;15;8;12;6;24300;5700;12400;24600;17500;6000;13400;23500;16200;22500;367;53;56;328;225;52;233;405;241;329;1;2;0;40;1;2;4;1;3;16;637;262;349;635;456;232;386;604;405;559;578;321;470;583;580;321;499;578;396;579;31000;4100;12300;30100;17700;10000;12400;29600;15800;13000;0;11300;336;0;0;0;1900;0;2700;0;10700;595;718;1300;2700;71;417;3600;28;2100;0;19;1;0;0;20;0;0;0;0;0;19;2;0;0;9;0;0;2;2
