Country;Year;Team;GP;W;T;L;pts;gf;ga
ES1;2013;Atlético Madrid;38;28;6;4;90;77;26
ES1;2013;FC Barcelona;38;27;6;5;87;100;33
ES1;2013;Real Madrid;38;27;6;5;87;104;38
ES1;2013;Athletic Bilbao;38;20;10;8;70;66;39
ES1;2013;Sevilla FC;38;18;9;11;63;69;52
ES1;2013;Villarreal;38;17;8;13;59;60;44
ES1;2013;Real Sociedad;38;16;11;11;59;62;55
ES1;2013;Celta Vigo;38;14;7;17;49;49;54
ES1;2013;Valencia CF;38;13;10;15;49;51;53
ES1;2013;Levante;38;12;12;14;48;35;43
ES1;2013;Málaga;38;12;9;17;45;39;46
ES1;2013;Rayo Vallecano;38;13;4;21;43;46;80
ES1;2013;Getafe;38;11;9;18;42;35;54
ES1;2013;RCD Espanyol;38;11;9;18;42;41;51
ES1;2013;Granada CF;38;12;5;21;41;32;56
ES1;2013;Almería;38;11;7;20;40;43;71
ES1;2013;Elche CF;38;9;13;16;40;30;50
ES1;2013;Osasuna;38;10;9;19;39;32;62
ES1;2013;Real Valladolid;38;7;15;16;36;38;60
ES1;2013;Real Betis;38;6;7;25;25;36;78
ES1;2012;FC Barcelona;38;32;4;2;100;115;40
ES1;2012;Real Madrid;38;26;7;5;85;103;42
ES1;2012;Atlético Madrid;38;23;7;8;76;65;31
ES1;2012;Real Sociedad;38;18;12;8;66;70;49
ES1;2012;Valencia CF;38;19;8;11;65;67;54
ES1;2012;Málaga;38;16;9;13;57;53;50
ES1;2012;Real Betis;38;16;8;14;56;57;56
ES1;2012;Rayo Vallecano;38;16;5;17;53;50;66
ES1;2012;Sevilla FC;38;14;8;16;50;58;54
ES1;2012;Getafe;38;13;8;17;47;43;57
ES1;2012;Levante;38;12;10;16;46;40;57
ES1;2012;Athletic Bilbao;38;12;9;17;45;44;65
ES1;2012;RCD Espanyol;38;11;11;16;44;43;52
ES1;2012;Real Valladolid;38;11;10;17;43;49;58
ES1;2012;Granada CF;38;11;9;18;42;37;54
ES1;2012;Osasuna;38;10;9;19;39;33;50
ES1;2012;Celta Vigo;38;10;7;21;37;37;52
ES1;2012;Mallorca;38;9;9;20;36;43;72
ES1;2012;Deportivo La Coruña;38;8;11;19;35;47;70
ES1;2012;Real Zaragoza;38;9;7;22;34;37;62
ES1;2011;Real Madrid;38;32;4;2;100;121;32
ES1;2011;FC Barcelona;38;28;7;3;91;114;29
ES1;2011;Valencia CF;38;17;10;11;61;59;44
ES1;2011;Málaga;38;17;7;14;58;54;53
ES1;2011;Atlético Madrid;38;15;11;12;56;53;46
ES1;2011;Levante;38;16;7;15;55;54;50
ES1;2011;Osasuna;38;13;15;10;54;44;61
ES1;2011;Mallorca;38;14;10;14;52;42;46
ES1;2011;Sevilla FC;38;13;11;14;50;48;47
ES1;2011;Athletic Bilbao;38;12;13;13;49;49;52
ES1;2011;Real Betis;38;13;8;17;47;47;56
ES1;2011;Getafe;38;12;11;15;47;40;51
ES1;2011;Real Sociedad;38;12;11;15;47;46;52
ES1;2011;RCD Espanyol;38;12;10;16;46;46;56
ES1;2011;Rayo Vallecano;38;13;4;21;43;53;73
ES1;2011;Real Zaragoza;38;12;7;19;43;36;61
ES1;2011;Granada CF;38;12;6;20;42;35;56
ES1;2011;Villarreal;38;9;14;15;41;39;53
ES1;2011;Sporting de Gijón;38;10;7;21;37;42;69
ES1;2011;Racing de Santander;38;4;15;19;27;28;63
ES1;2010;FC Barcelona;38;30;6;2;96;95;21
ES1;2010;Real Madrid;38;29;5;4;92;102;33
ES1;2010;Valencia CF;38;21;8;9;71;64;44
ES1;2010;Villarreal;38;18;8;12;62;54;44
ES1;2010;Athletic Bilbao;38;18;4;16;58;59;55
ES1;2010;Atlético Madrid;38;17;7;14;58;62;53
ES1;2010;Sevilla FC;38;17;7;14;58;62;61
ES1;2010;RCD Espanyol;38;15;4;19;49;46;55
ES1;2010;Osasuna;38;13;8;17;47;45;46
ES1;2010;Sporting de Gijón;38;11;14;13;47;35;42
ES1;2010;Málaga;38;13;7;18;46;54;68
ES1;2010;Racing de Santander;38;12;10;16;46;41;56
ES1;2010;Real Sociedad;38;14;3;21;45;49;66
ES1;2010;Levante;38;12;9;17;45;41;52
